ID,Location,Country,Parking Available,Weather,Temperature,Rain,Wind Speed,Description
109,Great Wall of China,China,No,Cloudy,34,Light,9,"Information about Great Wall of China in China, weather condition: Cloudy."
110,Central Park,USA,Yes,Rainy,35,Moderate,10,"Information about Central Park in USA, weather condition: Rainy."
111,Times Square,Canada,No,Windy,36,Heavy,11,"Information about Times Square in Canada, weather condition: Windy."
112,Berlin Wall,Germany,Yes,Snowy,37,None,12,"Information about Berlin Wall in Germany, weather condition: Snowy."
113,Sydney Opera House,Australia,No,Foggy,38,Light,13,"Information about Sydney Opera House in Australia, weather condition: Foggy."
114,Taj Mahal,India,Yes,Sunny,39,Moderate,14,"Information about Taj Mahal in India, weather condition: Sunny."
115,Mount Fuji,Japan,No,Cloudy,40,Heavy,15,"Information about Mount Fuji in Japan, weather condition: Cloudy."
116,Christ the Redeemer,Brazil,Yes,Rainy,41,None,16,"Information about Christ the Redeemer in Brazil, weather condition: Rainy."
117,Big Ben,UK,No,Windy,42,Light,17,"Information about Big Ben in UK, weather condition: Windy."
118,Eiffel Tower,France,Yes,Snowy,43,Moderate,18,"Information about Eiffel Tower in France, weather condition: Snowy."
119,Great Wall of China,China,No,Foggy,44,Heavy,19,"Information about Great Wall of China in China, weather condition: Foggy."
120,Central Park,USA,Yes,Sunny,15,None,5,"Information about Central Park in USA, weather condition: Sunny."
121,Times Square,Canada,No,Cloudy,16,Light,6,"Information about Times Square in Canada, weather condition: Cloudy."
122,Berlin Wall,Germany,Yes,Rainy,17,Moderate,7,"Information about Berlin Wall in Germany, weather condition: Rainy."
123,Sydney Opera House,Australia,No,Windy,18,Heavy,8,"Information about Sydney Opera House in Australia, weather condition: Windy."
124,Taj Mahal,India,Yes,Snowy,19,None,9,"Information about Taj Mahal in India, weather condition: Snowy."
125,Mount Fuji,Japan,No,Foggy,20,Light,10,"Information about Mount Fuji in Japan, weather condition: Foggy."
126,Christ the Redeemer,Brazil,Yes,Sunny,21,Moderate,11,"Information about Christ the Redeemer in Brazil, weather condition: Sunny."
127,Big Ben,UK,No,Cloudy,22,Heavy,12,"Information about Big Ben in UK, weather condition: Cloudy."
128,Eiffel Tower,France,Yes,Rainy,23,None,13,"Information about Eiffel Tower in France, weather condition: Rainy."
129,Great Wall of China,China,No,Windy,24,Light,14,"Information about Great Wall of China in China, weather condition: Windy."
130,Central Park,USA,Yes,Snowy,25,Moderate,15,"Information about Central Park in USA, weather condition: Snowy."
131,Times Square,Canada,No,Foggy,26,Heavy,16,"Information about Times Square in Canada, weather condition: Foggy."
132,Berlin Wall,Germany,Yes,Sunny,27,None,17,"Information about Berlin Wall in Germany, weather condition: Sunny."
133,Sydney Opera House,Australia,No,Cloudy,28,Light,18,"Information about Sydney Opera House in Australia, weather condition: Cloudy."
134,Taj Mahal,India,Yes,Rainy,29,Moderate,19,"Information about Taj Mahal in India, weather condition: Rainy."
135,Mount Fuji,Japan,No,Windy,30,Heavy,5,"Information about Mount Fuji in Japan, weather condition: Windy."
136,Christ the Redeemer,Brazil,Yes,Snowy,31,None,6,"Information about Christ the Redeemer in Brazil, weather condition: Snowy."
137,Big Ben,UK,No,Foggy,32,Light,7,"Information about Big Ben in UK, weather condition: Foggy."
138,Eiffel Tower,France,Yes,Sunny,33,Moderate,8,"Information about Eiffel Tower in France, weather condition: Sunny."
139,Great Wall of China,China,No,Cloudy,34,Heavy,9,"Information about Great Wall of China in China, weather condition: Cloudy."
140,Central Park,USA,Yes,Rainy,35,None,10,"Information about Central Park in USA, weather condition: Rainy."
141,Times Square,Canada,No,Windy,36,Light,11,"Information about Times Square in Canada, weather condition: Windy."
142,Berlin Wall,Germany,Yes,Snowy,37,Moderate,12,"Information about Berlin Wall in Germany, weather condition: Snowy."
143,Sydney Opera House,Australia,No,Foggy,38,Heavy,13,"Information about Sydney Opera House in Australia, weather condition: Foggy."
144,Taj Mahal,India,Yes,Sunny,39,None,14,"Information about Taj Mahal in India, weather condition: Sunny."
145,Mount Fuji,Japan,No,Cloudy,40,Light,15,"Information about Mount Fuji in Japan, weather condition: Cloudy."
146,Christ the Redeemer,Brazil,Yes,Rainy,41,Moderate,16,"Information about Christ the Redeemer in Brazil, weather condition: Rainy."
147,Big Ben,UK,No,Windy,42,Heavy,17,"Information about Big Ben in UK, weather condition: Windy."
148,Eiffel Tower,France,Yes,Snowy,43,None,18,"Information about Eiffel Tower in France, weather condition: Snowy."
149,Great Wall of China,China,No,Foggy,44,Light,19,"Information about Great Wall of China in China, weather condition: Foggy."
150,Central Park,USA,Yes,Sunny,15,Moderate,5,"Information about Central Park in USA, weather condition: Sunny."
151,Times Square,Canada,No,Cloudy,16,Heavy,6,"Information about Times Square in Canada, weather condition: Cloudy."
152,Berlin Wall,Germany,Yes,Rainy,17,None,7,"Information about Berlin Wall in Germany, weather condition: Rainy."
153,Sydney Opera House,Australia,No,Windy,18,Light,8,"Information about Sydney Opera House in Australia, weather condition: Windy."
154,Taj Mahal,India,Yes,Snowy,19,Moderate,9,"Information about Taj Mahal in India, weather condition: Snowy."
155,Mount Fuji,Japan,No,Foggy,20,Heavy,10,"Information about Mount Fuji in Japan, weather condition: Foggy."
156,Christ the Redeemer,Brazil,Yes,Sunny,21,None,11,"Information about Christ the Redeemer in Brazil, weather condition: Sunny."
157,Big Ben,UK,No,Cloudy,22,Light,12,"Information about Big Ben in UK, weather condition: Cloudy."
158,Eiffel Tower,France,Yes,Rainy,23,Moderate,13,"Information about Eiffel Tower in France, weather condition: Rainy."
159,Great Wall of China,China,No,Windy,24,Heavy,14,"Information about Great Wall of China in China, weather condition: Windy."
160,Central Park,USA,Yes,Snowy,25,None,15,"Information about Central Park in USA, weather condition: Snowy."
161,Times Square,Canada,No,Foggy,26,Light,16,"Information about Times Square in Canada, weather condition: Foggy."
162,Berlin Wall,Germany,Yes,Sunny,27,Moderate,17,"Information about Berlin Wall in Germany, weather condition: Sunny."
163,Sydney Opera House,Australia,No,Cloudy,28,Heavy,18,"Information about Sydney Opera House in Australia, weather condition: Cloudy."
164,Taj Mahal,India,Yes,Rainy,29,None,19,"Information about Taj Mahal in India, weather condition: Rainy."
165,Mount Fuji,Japan,No,Windy,30,Light,5,"Information about Mount Fuji in Japan, weather condition: Windy."
166,Christ the Redeemer,Brazil,Yes,Snowy,31,Moderate,6,"Information about Christ the Redeemer in Brazil, weather condition: Snowy."
167,Big Ben,UK,No,Foggy,32,Heavy,7,"Information about Big Ben in UK, weather condition: Foggy."
168,Eiffel Tower,France,Yes,Sunny,33,None,8,"Information about Eiffel Tower in France, weather condition: Sunny."
169,Great Wall of China,China,No,Cloudy,34,Light,9,"Information about Great Wall of China in China, weather condition: Cloudy."
170,Central Park,USA,Yes,Rainy,35,Moderate,10,"Information about Central Park in USA, weather condition: Rainy."
171,Times Square,Canada,No,Windy,36,Heavy,11,"Information about Times Square in Canada, weather condition: Windy."
172,Berlin Wall,Germany,Yes,Snowy,37,None,12,"Information about Berlin Wall in Germany, weather condition: Snowy."
173,Sydney Opera House,Australia,No,Foggy,38,Light,13,"Information about Sydney Opera House in Australia, weather condition: Foggy."
174,Taj Mahal,India,Yes,Sunny,39,Moderate,14,"Information about Taj Mahal in India, weather condition: Sunny."
175,Mount Fuji,Japan,No,Cloudy,40,Heavy,15,"Information about Mount Fuji in Japan, weather condition: Cloudy."
176,Christ the Redeemer,Brazil,Yes,Rainy,41,None,16,"Information about Christ the Redeemer in Brazil, weather condition: Rainy."
177,Big Ben,UK,No,Windy,42,Light,17,"Information about Big Ben in UK, weather condition: Windy."
178,Eiffel Tower,France,Yes,Snowy,43,Moderate,18,"Information about Eiffel Tower in France, weather condition: Snowy."
179,Great Wall of China,China,No,Foggy,44,Heavy,19,"Information about Great Wall of China in China, weather condition: Foggy."
180,Central Park,USA,Yes,Sunny,15,None,5,"Information about Central Park in USA, weather condition: Sunny."
181,Times Square,Canada,No,Cloudy,16,Light,6,"Information about Times Square in Canada, weather condition: Cloudy."
182,Berlin Wall,Germany,Yes,Rainy,17,Moderate,7,"Information about Berlin Wall in Germany, weather condition: Rainy."
183,Sydney Opera House,Australia,No,Windy,18,Heavy,8,"Information about Sydney Opera House in Australia, weather condition: Windy."
184,Taj Mahal,India,Yes,Snowy,19,None,9,"Information about Taj Mahal in India, weather condition: Snowy."
185,Mount Fuji,Japan,No,Foggy,20,Light,10,"Information about Mount Fuji in Japan, weather condition: Foggy."
186,Christ the Redeemer,Brazil,Yes,Sunny,21,Moderate,11,"Information about Christ the Redeemer in Brazil, weather condition: Sunny."
187,Big Ben,UK,No,Cloudy,22,Heavy,12,"Information about Big Ben in UK, weather condition: Cloudy."
188,Eiffel Tower,France,Yes,Rainy,23,None,13,"Information about Eiffel Tower in France, weather condition: Rainy."
189,Great Wall of China,China,No,Windy,24,Light,14,"Information about Great Wall of China in China, weather condition: Windy."
190,Central Park,USA,Yes,Snowy,25,Moderate,15,"Information about Central Park in USA, weather condition: Snowy."
191,Times Square,Canada,No,Foggy,26,Heavy,16,"Information about Times Square in Canada, weather condition: Foggy."
192,Berlin Wall,Germany,Yes,Sunny,27,None,17,"Information about Berlin Wall in Germany, weather condition: Sunny."
193,Sydney Opera House,Australia,No,Cloudy,28,Light,18,"Information about Sydney Opera House in Australia, weather condition: Cloudy."
194,Taj Mahal,India,Yes,Rainy,29,Moderate,19,"Information about Taj Mahal in India, weather condition: Rainy."
195,Mount Fuji,Japan,No,Windy,30,Heavy,5,"Information about Mount Fuji in Japan, weather condition: Windy."
196,Christ the Redeemer,Brazil,Yes,Snowy,31,None,6,"Information about Christ the Redeemer in Brazil, weather condition: Snowy."
197,Big Ben,UK,No,Foggy,32,Light,7,"Information about Big Ben in UK, weather condition: Foggy."
198,Eiffel Tower,France,Yes,Sunny,33,Moderate,8,"Information about Eiffel Tower in France, weather condition: Sunny."
199,Great Wall of China,China,No,Cloudy,34,Heavy,9,"Information about Great Wall of China in China, weather condition: Cloudy."
200,Central Park,USA,Yes,Rainy,35,None,10,"Information about Central Park in USA, weather condition: Rainy."
201,Times Square,Canada,No,Windy,36,Light,11,"Information about Times Square in Canada, weather condition: Windy."
202,Berlin Wall,Germany,Yes,Snowy,37,Moderate,12,"Information about Berlin Wall in Germany, weather condition: Snowy."
203,Sydney Opera House,Australia,No,Foggy,38,Heavy,13,"Information about Sydney Opera House in Australia, weather condition: Foggy."
204,Taj Mahal,India,Yes,Sunny,39,None,14,"Information about Taj Mahal in India, weather condition: Sunny."
205,Mount Fuji,Japan,No,Cloudy,40,Light,15,"Information about Mount Fuji in Japan, weather condition: Cloudy."
206,Christ the Redeemer,Brazil,Yes,Rainy,41,Moderate,16,"Information about Christ the Redeemer in Brazil, weather condition: Rainy."
207,Big Ben,UK,No,Windy,42,Heavy,17,"Information about Big Ben in UK, weather condition: Windy."
208,Eiffel Tower,France,Yes,Snowy,43,None,18,"Information about Eiffel Tower in France, weather condition: Snowy."
209,Great Wall of China,China,No,Foggy,44,Light,19,"Information about Great Wall of China in China, weather condition: Foggy."
210,Central Park,USA,Yes,Sunny,15,Moderate,5,"Information about Central Park in USA, weather condition: Sunny."
211,Times Square,Canada,No,Cloudy,16,Heavy,6,"Information about Times Square in Canada, weather condition: Cloudy."
212,Berlin Wall,Germany,Yes,Rainy,17,None,7,"Information about Berlin Wall in Germany, weather condition: Rainy."
213,Sydney Opera House,Australia,No,Windy,18,Light,8,"Information about Sydney Opera House in Australia, weather condition: Windy."
214,Taj Mahal,India,Yes,Snowy,19,Moderate,9,"Information about Taj Mahal in India, weather condition: Snowy."
215,Mount Fuji,Japan,No,Foggy,20,Heavy,10,"Information about Mount Fuji in Japan, weather condition: Foggy."
216,Christ the Redeemer,Brazil,Yes,Sunny,21,None,11,"Information about Christ the Redeemer in Brazil, weather condition: Sunny."
217,Big Ben,UK,No,Cloudy,22,Light,12,"Information about Big Ben in UK, weather condition: Cloudy."
218,Eiffel Tower,France,Yes,Rainy,23,Moderate,13,"Information about Eiffel Tower in France, weather condition: Rainy."
219,Great Wall of China,China,No,Windy,24,Heavy,14,"Information about Great Wall of China in China, weather condition: Windy."
220,Central Park,USA,Yes,Snowy,25,None,15,"Information about Central Park in USA, weather condition: Snowy."
221,Times Square,Canada,No,Foggy,26,Light,16,"Information about Times Square in Canada, weather condition: Foggy."
222,Berlin Wall,Germany,Yes,Sunny,27,Moderate,17,"Information about Berlin Wall in Germany, weather condition: Sunny."
223,Sydney Opera House,Australia,No,Cloudy,28,Heavy,18,"Information about Sydney Opera House in Australia, weather condition: Cloudy."
224,Taj Mahal,India,Yes,Rainy,29,None,19,"Information about Taj Mahal in India, weather condition: Rainy."
225,Mount Fuji,Japan,No,Windy,30,Light,5,"Information about Mount Fuji in Japan, weather condition: Windy."
226,Christ the Redeemer,Brazil,Yes,Snowy,31,Moderate,6,"Information about Christ the Redeemer in Brazil, weather condition: Snowy."
227,Big Ben,UK,No,Foggy,32,Heavy,7,"Information about Big Ben in UK, weather condition: Foggy."
228,Eiffel Tower,France,Yes,Sunny,33,None,8,"Information about Eiffel Tower in France, weather condition: Sunny."
229,Great Wall of China,China,No,Cloudy,34,Light,9,"Information about Great Wall of China in China, weather condition: Cloudy."
230,Central Park,USA,Yes,Rainy,35,Moderate,10,"Information about Central Park in USA, weather condition: Rainy."
231,Times Square,Canada,No,Windy,36,Heavy,11,"Information about Times Square in Canada, weather condition: Windy."
232,Berlin Wall,Germany,Yes,Snowy,37,None,12,"Information about Berlin Wall in Germany, weather condition: Snowy."
233,Sydney Opera House,Australia,No,Foggy,38,Light,13,"Information about Sydney Opera House in Australia, weather condition: Foggy."
234,Taj Mahal,India,Yes,Sunny,39,Moderate,14,"Information about Taj Mahal in India, weather condition: Sunny."
235,Mount Fuji,Japan,No,Cloudy,40,Heavy,15,"Information about Mount Fuji in Japan, weather condition: Cloudy."
236,Christ the Redeemer,Brazil,Yes,Rainy,41,None,16,"Information about Christ the Redeemer in Brazil, weather condition: Rainy."
237,Big Ben,UK,No,Windy,42,Light,17,"Information about Big Ben in UK, weather condition: Windy."
238,Eiffel Tower,France,Yes,Snowy,43,Moderate,18,"Information about Eiffel Tower in France, weather condition: Snowy."
239,Great Wall of China,China,No,Foggy,44,Heavy,19,"Information about Great Wall of China in China, weather condition: Foggy."
240,Central Park,USA,Yes,Sunny,15,None,5,"Information about Central Park in USA, weather condition: Sunny."
241,Times Square,Canada,No,Cloudy,16,Light,6,"Information about Times Square in Canada, weather condition: Cloudy."
242,Berlin Wall,Germany,Yes,Rainy,17,Moderate,7,"Information about Berlin Wall in Germany, weather condition: Rainy."
243,Sydney Opera House,Australia,No,Windy,18,Heavy,8,"Information about Sydney Opera House in Australia, weather condition: Windy."
244,Taj Mahal,India,Yes,Snowy,19,None,9,"Information about Taj Mahal in India, weather condition: Snowy."
245,Mount Fuji,Japan,No,Foggy,20,Light,10,"Information about Mount Fuji in Japan, weather condition: Foggy."
246,Christ the Redeemer,Brazil,Yes,Sunny,21,Moderate,11,"Information about Christ the Redeemer in Brazil, weather condition: Sunny."
247,Big Ben,UK,No,Cloudy,22,Heavy,12,"Information about Big Ben in UK, weather condition: Cloudy."
248,Eiffel Tower,France,Yes,Rainy,23,None,13,"Information about Eiffel Tower in France, weather condition: Rainy."
249,Great Wall of China,China,No,Windy,24,Light,14,"Information about Great Wall of China in China, weather condition: Windy."
250,Central Park,USA,Yes,Snowy,25,Moderate,15,"Information about Central Park in USA, weather condition: Snowy."
251,Times Square,Canada,No,Foggy,26,Heavy,16,"Information about Times Square in Canada, weather condition: Foggy."
252,Berlin Wall,Germany,Yes,Sunny,27,None,17,"Information about Berlin Wall in Germany, weather condition: Sunny."
253,Sydney Opera House,Australia,No,Cloudy,28,Light,18,"Information about Sydney Opera House in Australia, weather condition: Cloudy."
254,Taj Mahal,India,Yes,Rainy,29,Moderate,19,"Information about Taj Mahal in India, weather condition: Rainy."
255,Mount Fuji,Japan,No,Windy,30,Heavy,5,"Information about Mount Fuji in Japan, weather condition: Windy."
